fold,variable,model,n,bias,mae,rmse,pearson_r,nse,wet_accuracy,pod,far,csi,frequency_bias,wet_amount_rmse
3,WS10M,linear_stack,58653,-0.012639587865560268,0.11407459494651673,0.16340992163477225,0.4669440673808238,0.1992125276708211,,,,,,
3,WS10M,ml_regressor,58653,-0.0034839163587282655,0.09734786599838692,0.1505206138715752,0.5670723855076495,0.32055800137615476,,,,,,
4,WS10M,raw_nasa,58719,2.541264553534631,2.54171892094552,2.9099193563009678,0.4204663929007631,-347.79633247473737,,,,,,
4,WS10M,anchor_idw_bmd,58568,0.13325889638857336,0.16846752270742268,0.2932278448530925,0.391855971998355,-2.544854672311404,,,,,,
4,WS10M,global_month_hour_bias,58719,-0.14164683538044107,0.9941667627049399,1.3218689726062398,0.3485879957872534,-70.97585301204805,,,,,,
4,WS10M,idw_residual,58719,-0.24298552282629565,0.5964484629980957,0.9841850788799832,0.07384012085195367,-38.899141934447506,,,,,,
4,WS10M,linear_stack,58719,0.11977953659029479,0.14876983040758135,0.19505639852254833,0.47533684576313706,-0.5672215886040002,,,,,,
4,WS10M,ml_regressor,58719,0.15621376656643626,0.18199965929574327,0.2571352483177683,0.4215673271521143,-1.7235366970544783,,,,,,
5,WS10M,raw_nasa,54153,2.4564514119439367,2.458538625764039,2.810856727696963,0.3186359107155749,-85.04790453739224,,,,,,
5,WS10M,anchor_idw_bmd,53980,-0.0009687544912822272,0.19397827666595382,0.31824288602243345,0.22902016789121066,-0.10849834065820718,,,,,,
5,WS10M,global_month_hour_bias,54153,-0.24926149235402625,0.9302650109248884,1.2473609522869815,0.2813239908004737,-15.945218319686859,,,,,,
5,WS10M,idw_residual,54153,-0.021557011388689765,0.4928791658350854,0.6769173344442861,0.1864390237445503,-3.990386131717745,,,,,,
5,WS10M,linear_stack,54153,-0.04326241416656473,0.16242972556721247,0.286403907848942,0.36124686657524907,0.10665181761685116,,,,,,
5,WS10M,ml_regressor,54153,0.0089846127437815,0.2052679790095025,0.32630822153683375,0.15315071104156774,-0.159628583742758,,,,,,
