station_id,threshold_mm,hits,misses,false_alarms,correct_negatives,pod,far,csi,frequency_bias,accuracy
jessore,10.0,147,39,1743,9759,0.7903225806451613,0.9222222222222223,0.07620528771384137,10.161290322580646,0.8475359342915811
jessore,25.0,38,16,668,10966,0.7037037037037037,0.9461756373937678,0.05263157894736842,13.074074074074074,0.9414784394250514
khepupara,0.1,1490,4,5420,4774,0.9973226238286479,0.784370477568741,0.21550477292450101,4.625167336010709,0.5359342915811088
khepupara,5.0,570,35,3395,7688,0.9421487603305785,0.8562421185372006,0.1425,6.553719008264463,0.7065366187542779
khepupara,10.0,308,32,2409,8939,0.9058823529411765,0.8866396761133604,0.11204074208803201,7.991176470588235,0.7911533196440794
khepupara,25.0,87,29,1138,10434,0.75,0.9289795918367347,0.06937799043062201,10.560344827586206,0.9001540041067762
khulna,0.1,1052,14,5054,5568,0.9868667917448405,0.8277104487389453,0.1718954248366013,5.727954971857411,0.5663928815879534
khulna,5.0,317,55,2654,8662,0.8521505376344086,0.8933019185459441,0.1047587574355585,7.986559139784946,0.768223819301848
khulna,10.0,165,43,1725,9755,0.7932692307692307,0.9126984126984127,0.08535954474909467,9.086538461538462,0.8487337440109514
khulna,25.0,37,22,669,10960,0.6271186440677966,0.9475920679886686,0.050824175824175824,11.966101694915254,0.9408795345653662
kutubdia,0.1,1154,8,5640,4886,0.9931153184165232,0.83014424492199,0.16965598353425462,5.846815834767642,0.5167693360711841
kutubdia,5.0,556,44,3791,7297,0.9266666666666666,0.8720956981826548,0.12662263721248007,7.245,0.6718856947296372
kutubdia,10.0,324,42,3057,8265,0.8852459016393442,0.904170363797693,0.09465381244522349,9.237704918032787,0.7348562628336756
kutubdia,25.0,97,30,1816,9745,0.7637795275590551,0.9492943021432305,0.049922799794132784,15.062992125984252,0.8420602327173169
m_court,0.1,1094,17,5119,5458,0.9846984698469847,0.8239175921455014,0.17560192616372391,5.592259225922592,0.5605749486652978
m_court,5.0,518,74,2917,8179,0.875,0.8491994177583697,0.14762040467369622,5.802364864864865,0.7440965092402464
m_court,10.0,263,75,2202,9148,0.7781065088757396,0.8933062880324544,0.10354330708661418,7.292899408284024,0.8051848049281314
m_court,25.0,55,44,1093,10496,0.5555555555555556,0.9520905923344948,0.04614093959731544,11.595959595959595,0.9027207392197125
madaripur,0.1,875,11,5330,5472,0.9875846501128668,0.8589846897663175,0.14076576576576577,7.003386004514673,0.5430355920602327
madaripur,5.0,310,63,2894,8421,0.8310991957104558,0.9032459425717853,0.09488827670645852,8.589812332439678,0.7470054757015743
madaripur,10.0,162,58,1951,9517,0.7363636363636363,0.9233317557974444,0.07461999078765545,9.604545454545455,0.8281143052703628
madaripur,25.0,47,23,765,10853,0.6714285714285714,0.9421182266009852,0.0562874251497006,11.6,0.932580424366872
mongla,0.1,1288,22,4790,5588,0.983206106870229,0.7880881869035867,0.21114754098360655,4.639694656488549,0.5882956878850103
mongla,5.0,401,75,2674,8538,0.842436974789916,0.8695934959349594,0.1273015873015873,6.4600840336134455,0.7648015058179329
mongla,10.0,194,72,1768,9654,0.7293233082706767,0.9011213047910296,0.09537856440511308,7.37593984962406,0.8425735797399042
mongla,25.0,47,35,730,10876,0.573170731707317,0.9395109395109396,0.05788177339901478,9.475609756097562,0.9345482546201233
mymensingh,0.1,1018,27,5281,5362,0.9741626794258373,0.8383870455627878,0.16092317420170724,6.0277511961722485,0.5458590006844627
mymensingh,5.0,325,59,3222,8082,0.8463541666666666,0.90837327318861,0.09012756516916251,9.236979166666666,0.7192847364818618
mymensingh,10.0,187,58,2299,9144,0.763265306122449,0.9247787610619469,0.0735062893081761,10.146938775510204,0.7983401779603012
mymensingh,25.0,57,28,1058,10545,0.6705882352941176,0.9488789237668162,0.049868766404199474,13.117647058823529,0.9070841889117043
