source_file,wmo_stations,decoded_rows,nil_rows,parse_skipped
data\raw\ground_ogimet\ogimet_getsynop_Bang_202105280000_202106032359.csv,33,1425,11,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202106040000_202106102359.csv,33,1614,4,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202106110000_202106172359.csv,33,1701,7,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202106180000_202106242359.csv,33,1706,4,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202106250000_202107012359.csv,33,1726,2,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202107020000_202107082359.csv,33,1705,9,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202107090000_202107152359.csv,33,1710,4,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202107160000_202107222359.csv,33,1673,5,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202107230000_202107292359.csv,33,1672,10,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202107300000_202108052359.csv,33,1655,9,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202108060000_202108122359.csv,33,1431,12,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202108130000_202108192359.csv,33,1674,7,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202108200000_202108262359.csv,33,1722,2,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202108270000_202109022359.csv,33,1642,7,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202109030000_202109092359.csv,33,1600,6,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202109100000_202109162359.csv,33,1588,9,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202109170000_202109232359.csv,33,1557,15,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202109240000_202109302359.csv,33,1681,12,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202110010000_202110072359.csv,33,1678,4,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202110080000_202110142359.csv,33,1619,5,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202110150000_202110212359.csv,33,1577,9,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202110220000_202110282359.csv,33,1588,8,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202110290000_202111042359.csv,33,1618,7,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202111050000_202111112359.csv,33,1565,8,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202111120000_202111182359.csv,33,1676,4,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202111190000_202111252359.csv,33,1581,8,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202111260000_202112022359.csv,43,1715,21,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202112030000_202112092359.csv,33,1712,2,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202112100000_202112162359.csv,33,1677,10,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202112170000_202112232359.csv,33,1666,8,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202112240000_202112302359.csv,33,1644,5,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202112310000_202201062359.csv,43,1642,17,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202201070000_202201132359.csv,33,1654,7,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202201140000_202201202359.csv,33,1709,7,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202201210000_202201272359.csv,33,1744,7,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202201280000_202202032359.csv,33,1679,8,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202202040000_202202102359.csv,33,1664,10,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202202110000_202202172359.csv,33,1682,5,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202202180000_202202242359.csv,33,1580,13,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202202250000_202203032359.csv,33,1653,9,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202203040000_202203102359.csv,33,1544,12,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202203110000_202203172359.csv,33,1586,8,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202203180000_202203242359.csv,33,1687,7,0
