split,variable,horizon_bucket,candidate,n,bias,mae,rmse,pearson_r,brier,pod,far,csi,wet_amount_rmse,interval_coverage_90,weighted_interval_score
spatial_temporal_test_2024,T2M,75-96,hist_gradient_direct,1142,-0.4774608539426319,1.8812308631096049,2.4623050241801763,0.9143805795132309,,,,,,0.8607705779334501,0.983125270226539
spatial_temporal_test_2024,T2M,75-96,nasa_persistence,1142,-4.141611208406304,4.811138353765324,6.32060357855149,0.6852465064320874,,,,,,,
validation_2023,RH2M,0-24,hist_gradient_direct,12740,0.08097793714669209,5.913626531640845,8.34217904565069,0.8723452254311242,,,,,,0.8998430141287285,3.0882766829915798
validation_2023,RH2M,0-24,nasa_persistence,12740,9.31539638932496,14.633520408163264,19.75718995469266,0.2628789724203687,,,,,,,
validation_2023,RH2M,27-48,hist_gradient_direct,7644,-0.11588017037648589,6.6392568857522685,9.212597618598219,0.8640771858607951,,,,,,0.8995290423861853,3.4435437102726807
validation_2023,RH2M,27-48,nasa_daily_seasonal,7644,12.23052197802198,17.040184458398745,22.401118295221433,0.23578614006169749,,,,,,,
validation_2023,RH2M,51-72,hist_gradient_direct,5124,0.09972954586128001,6.439222429160316,9.529511566388237,0.8832439690785875,,,,,,0.899687743950039,3.4572750647923165
validation_2023,RH2M,51-72,nasa_daily_seasonal,5124,11.68871975019516,18.137861046057765,24.32934226971883,0.15266216856301099,,,,,,,
validation_2023,RH2M,75-96,hist_gradient_direct,5124,0.23169003940251953,6.855345899698522,10.234940625717012,0.8677708208081378,,,,,,0.8992974238875878,3.6592540947588996
validation_2023,RH2M,75-96,nasa_daily_seasonal,5124,11.93628805620609,18.3757806401249,24.814488370690647,0.13422101574670692,,,,,,,
spatial_temporal_test_2024,RH2M,0-24,hist_gradient_direct,2881,1.4979089716942156,7.611657114082395,10.449075925559907,0.7852643869593997,,,,,,0.8320027768136063,4.054847151866963
spatial_temporal_test_2024,RH2M,0-24,nasa_persistence,2881,10.39151683443249,14.672488719194723,19.619777117690845,0.3044915744760271,,,,,,,
spatial_temporal_test_2024,RH2M,27-48,hist_gradient_direct,1731,1.7351783560098961,8.405973641529062,11.321250133084215,0.7908061637742657,,,,,,0.82842287694974,4.428360869465672
spatial_temporal_test_2024,RH2M,27-48,nasa_persistence,1731,14.229809358752165,17.53364529173888,22.92783038413421,0.3048212323509468,,,,,,,
spatial_temporal_test_2024,RH2M,51-72,hist_gradient_direct,1153,0.8581016459214517,7.475583916482644,10.480897029272166,0.8436911701914157,,,,,,0.8681699913269731,3.94445656210914
spatial_temporal_test_2024,RH2M,51-72,nasa_daily_seasonal,1153,12.146244579358196,17.698699045967043,23.731695775661535,0.18917212914258152,,,,,,,
spatial_temporal_test_2024,RH2M,75-96,hist_gradient_direct,1158,0.8540383862590895,8.082027292833365,11.342085102026408,0.8161228133975904,,,,,,0.8626943005181347,4.386477456660782
spatial_temporal_test_2024,RH2M,75-96,nasa_daily_seasonal,1158,12.022098445595855,17.765224525043177,23.825864414796424,0.175783804287538,,,,,,,
validation_2023,PRECTOTCORR,0-24,hist_gradient_direct,12734,0.020153924250070576,1.3454112391041686,4.736141698734171,0.27793524406747516,0.07978123240559949,0.6496551724137931,0.6469265367316341,0.2965994962216625,13.59541735802165,0.9299513114496624,0.9209625306021896
validation_2023,PRECTOTCORR,0-24,nasa_daily_seasonal,12734,8.080980053400346,8.680442908748233,19.623834115679774,0.16803962199530106,0.4341919271242343,0.9710344827586207,0.795794053662074,0.2029695833933977,29.412686479192878,,
